terminal	axis	variant	rep	metric	value	unit
noa	throughput	ascii	1	inner_ns	915412000	ns
noa	throughput	ascii	1	total_ns	1489836000	ns
noa	throughput	ascii	2	inner_ns	1000913000	ns
noa	throughput	ascii	2	total_ns	1244856000	ns
noa	throughput	ascii	3	inner_ns	951677000	ns
noa	throughput	ascii	3	total_ns	1213104000	ns
noa	throughput	ascii	median	inner_ns	951677000	ns
noa	throughput	ascii	median	mib_per_s	0.0	mib_s
noa	throughput	unicode	1	inner_ns	941359000	ns
noa	throughput	unicode	1	total_ns	1178157000	ns
noa	throughput	unicode	2	inner_ns	906972000	ns
noa	throughput	unicode	2	total_ns	1150500000	ns
noa	throughput	unicode	3	inner_ns	894470000	ns
noa	throughput	unicode	3	total_ns	1128316000	ns
noa	throughput	unicode	median	inner_ns	906972000	ns
noa	throughput	unicode	median	mib_per_s	0.0	mib_s
noa	scroll	-	1	inner_ns	259501000	ns
noa	scroll	-	2	inner_ns	183475000	ns
noa	scroll	-	3	inner_ns	185734000	ns
noa	scroll	-	median	inner_ns	185734000	ns
noa	scroll	-	median	mib_per_s	0.0	mib_s
noa	latency	-	1	median_ns	13000	ns
noa	latency	-	1	p99_ns	54000	ns
noa	latency	-	1	min_ns	11000	ns
noa	latency	-	2	median_ns	12000	ns
noa	latency	-	2	p99_ns	31000	ns
noa	latency	-	2	min_ns	11000	ns
noa	latency	-	median	median_ns	12500	ns
noa	latency	-	median	p99_ns	42500	ns
noa	startup	-	1	total_ns	252486000	ns
noa	startup	-	2	total_ns	260294000	ns
noa	startup	-	3	total_ns	244834000	ns
noa	startup	-	4	total_ns	238286000	ns
noa	startup	-	5	total_ns	227045000	ns
noa	startup	-	median	total_ns	244834000	ns
