terminal	axis	variant	rep	metric	value	unit
noa	throughput	ascii	1	inner_ns	941634000	ns
noa	throughput	ascii	1	total_ns	1195816000	ns
noa	throughput	ascii	2	inner_ns	941219000	ns
noa	throughput	ascii	2	total_ns	1188533000	ns
noa	throughput	ascii	3	inner_ns	935175000	ns
noa	throughput	ascii	3	total_ns	1214346000	ns
noa	throughput	ascii	median	inner_ns	941219000	ns
noa	throughput	ascii	median	mib_per_s	0.0	mib_s
noa	throughput	unicode	1	inner_ns	911693000	ns
noa	throughput	unicode	1	total_ns	1188160000	ns
noa	throughput	unicode	2	inner_ns	943589000	ns
noa	throughput	unicode	2	total_ns	1192355000	ns
noa	throughput	unicode	3	inner_ns	886083000	ns
noa	throughput	unicode	3	total_ns	1142124000	ns
noa	throughput	unicode	median	inner_ns	911693000	ns
noa	throughput	unicode	median	mib_per_s	0.0	mib_s
noa	scroll	-	1	inner_ns	190845000	ns
noa	scroll	-	2	inner_ns	182251000	ns
noa	scroll	-	3	inner_ns	193292000	ns
noa	scroll	-	median	inner_ns	190845000	ns
noa	scroll	-	median	mib_per_s	0.0	mib_s
noa	latency	-	1	median_ns	13000	ns
noa	latency	-	1	p99_ns	31000	ns
noa	latency	-	1	min_ns	11000	ns
noa	latency	-	2	median_ns	12000	ns
noa	latency	-	2	p99_ns	39000	ns
noa	latency	-	2	min_ns	11000	ns
noa	latency	-	median	median_ns	12500	ns
noa	latency	-	median	p99_ns	35000	ns
noa	startup	-	1	total_ns	243654000	ns
noa	startup	-	2	total_ns	245621000	ns
noa	startup	-	3	total_ns	249852000	ns
noa	startup	-	4	total_ns	234771000	ns
noa	startup	-	5	total_ns	244938000	ns
noa	startup	-	median	total_ns	244938000	ns
